AvgSpotLen	BioSample	Experiment	Instrument	LoadDate	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	biomaterial_provider	cell_line	cell_type	source_name	treated_with	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	Platform	ReleaseDate	SRA_Study
152	SAMN03317442	SRX859035	NextSeq 500	2015-01-31	41	21	Homo sapiens	SRR1779587	SRS830613	GSM1596255		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317444	SRX859036	NextSeq 500	2015-01-31	9	4	Homo sapiens	SRR1779588	SRS830614	GSM1596256		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317445	SRX859037	NextSeq 500	2015-01-31	91	47	Homo sapiens	SRR1779589	SRS830615	GSM1596257		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317443	SRX859038	NextSeq 500	2015-01-31	31	16	Homo sapiens	SRR1779590	SRS830616	GSM1596258		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317447	SRX859039	NextSeq 500	2015-01-31	23	12	Homo sapiens	SRR1779591	SRS830617	GSM1596259		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317440	SRX859040	NextSeq 500	2015-01-31	50	26	Homo sapiens	SRR1779592	SRS830618	GSM1596260		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317446	SRX859041	NextSeq 500	2015-01-31	69	35	Homo sapiens	SRR1779593	SRS830619	GSM1596261		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317441	SRX859042	NextSeq 500	2015-01-31	42	22	Homo sapiens	SRR1779594	SRS830620	GSM1596262		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317525	SRX859043	NextSeq 500	2015-01-31	13	7	Homo sapiens	SRR1779595	SRS830621	GSM1596263		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317619	SRX859044	NextSeq 500	2015-01-31	30	15	Homo sapiens	SRR1779596	SRS830622	GSM1596264		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317527	SRX859045	NextSeq 500	2015-01-31	6	3	Homo sapiens	SRR1779597	SRS830623	GSM1596265		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317493	SRX859046	NextSeq 500	2015-01-31	26	13	Homo sapiens	SRR1779598	SRS830624	GSM1596266		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317501	SRX859047	NextSeq 500	2015-01-31	70	35	Homo sapiens	SRR1779599	SRS830625	GSM1596267		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317610	SRX859048	NextSeq 500	2015-01-31	77	38	Homo sapiens	SRR1779600	SRS830627	GSM1596268		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317681	SRX859049	NextSeq 500	2015-01-31	29	15	Homo sapiens	SRR1779601	SRS830626	GSM1596269		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317528	SRX859050	NextSeq 500	2015-01-31	80	40	Homo sapiens	SRR1779602	SRS830628	GSM1596270		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317700	SRX859051	NextSeq 500	2015-01-31	53	27	Homo sapiens	SRR1779603	SRS830631	GSM1596271		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317581	SRX859052	NextSeq 500	2015-01-31	47	24	Homo sapiens	SRR1779604	SRS830629	GSM1596272		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317507	SRX859053	NextSeq 500	2015-01-31	30	15	Homo sapiens	SRR1779605	SRS830630	GSM1596273		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317607	SRX859054	NextSeq 500	2015-01-31	36	18	Homo sapiens	SRR1779606	SRS830632	GSM1596274		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317713	SRX859055	NextSeq 500	2015-01-31	72	36	Homo sapiens	SRR1779607	SRS830633	GSM1596275		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317532	SRX859056	NextSeq 500	2015-01-31	51	26	Homo sapiens	SRR1779608	SRS830634	GSM1596276		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317565	SRX859057	NextSeq 500	2015-01-31	54	27	Homo sapiens	SRR1779609	SRS830637	GSM1596277		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317504	SRX859058	NextSeq 500	2015-01-31	58	29	Homo sapiens	SRR1779610	SRS830635	GSM1596278		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317464	SRX859059	NextSeq 500	2015-01-31	74	37	Homo sapiens	SRR1779611	SRS830638	GSM1596279		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317646	SRX859060	NextSeq 500	2015-01-31	68	34	Homo sapiens	SRR1779612	SRS830636	GSM1596280		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317498	SRX859061	NextSeq 500	2015-01-31	55	28	Homo sapiens	SRR1779613	SRS830639	GSM1596281		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317688	SRX859062	NextSeq 500	2015-01-31	75	38	Homo sapiens	SRR1779614	SRS830640	GSM1596282		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317448	SRX859063	NextSeq 500	2015-01-31	75	38	Homo sapiens	SRR1779615	SRS830641	GSM1596283		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317715	SRX859064	NextSeq 500	2015-01-31	52	26	Homo sapiens	SRR1779616	SRS830642	GSM1596284		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317719	SRX859065	NextSeq 500	2015-01-31	86	44	Homo sapiens	SRR1779617	SRS830648	GSM1596285		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317467	SRX859066	NextSeq 500	2015-01-31	55	27	Homo sapiens	SRR1779618	SRS830643	GSM1596286		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317577	SRX859067	NextSeq 500	2015-01-31	39	20	Homo sapiens	SRR1779619	SRS830644	GSM1596287		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317516	SRX859068	NextSeq 500	2015-01-31	69	35	Homo sapiens	SRR1779620	SRS830650	GSM1596288		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317482	SRX859069	NextSeq 500	2015-01-31	49	25	Homo sapiens	SRR1779621	SRS830645	GSM1596289		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317543	SRX859070	NextSeq 500	2015-01-31	39	20	Homo sapiens	SRR1779622	SRS830646	GSM1596290		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317603	SRX859071	NextSeq 500	2015-01-31	145	73	Homo sapiens	SRR1779623	SRS830651	GSM1596291		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317496	SRX859072	NextSeq 500	2015-01-31	58	29	Homo sapiens	SRR1779624	SRS830647	GSM1596292		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317545	SRX859073	NextSeq 500	2015-01-31	79	40	Homo sapiens	SRR1779625	SRS830649	GSM1596293		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
